Phở,"Hà Nội, Nam Định",Phở,"Là một trong những món ăn đặc trưng nhất cho ẩm thực Việt Nam. Thành phần chính của phở là bánh phở và nước dùng (hay nước lèo theo cách gọi miền Nam) cùng với thịt bò hoặc gà cắt lát mỏng. Ngoài ra còn kèm theo các gia vị như: tương, tiêu, chanh, nước mắm, ớt,..."
Bánh cuốn,Khắp cả nước,Bánh tẻ,"Bột gạo hấp tráng mỏng, để ăn khi còn ướt, bên trong cuốn nhân. Bánh thường ăn với một loại nước chấm pha nhạt từ nước mắm "
Bò bía,Khắp cả nước,Bánh bột mì,"Gồm bò bía mặn và bò bía ngọt, đều là bột mì cuốn các nguyện liệu khác"
Chả giò,Khắp cả nước,Bánh đa nem cuốn,"Món ăn ngon, nổi tiếng của người Việt và được chế biến từ thịt, trứng, rau củ quả băm nhỏ trộn đều, gói trong bánh đa nem và rán giòn"
Gỏi cá,Khắp cả nước,Bánh đa nem cuốn,Thịt cá sống cuốn trong bánh đa nem cùng rau thơm ăn với nước chấm
Gỏi cuốn,Khắp cả nước,Bánh đa nem cuốn,"Bánh đa nem cuộn với các loại rau thơm, bún, và một số loại thịt như thịt bò, lợn, vịt, tôm, cá, cua đã nấu chín."
Nem chua,Khắp cả nước,Lên men,"Sử dụng thịt lợn, lợi dụng men của lá và thính gạo để ủ chín, có vị chua ngậy. Đặc sản nổi tiếng ở Việt Nam"
Bánh bao,Khắp cả nước,Bánh bột mì,"Làm bằng bột mỳ hấp có nhân gồm thịt heo xay, mộc nhĩ, nấm hương, miến, lạp xưởng, trứng chim cút hoặc trứng gà."
Bánh bèo,Quảng Bình,Bánh tẻ,"bánh làm từ bột gạo, nhân để rắc lên bánh làm bằng tôm xay nhuyễn, và nước chấm, một hỗn hợp mà nước mắm là thành phần chính và thường đổ trực tiếp vào bánh"
Bánh bột lọc,Bắc Trung Bộ,Bánh bột sắn,"Bằng bột sắn được luộc một phần nhỏ, nhồi kỹ. Nhân thường bằng tôm trộn với gia vị, có thể làm nhân bằng thịt heo nạc hay hỗn hợp tôm-thịt heo"
Bánh căn,"Khánh Hòa, Ninh Thuận, Bình Thuận",Bánh tẻ,"Bằng bột gạo nướng. Làm bánh căn thường phải có khuôn đúc đặc biệt, thường làm bằng đất nung, và có nhiều lỗ tròn để đặt khuôn. Vì bánh căn nhỏ nên thường tính theo cặp chứ không theo cái, ở giữa có thể quét mỡ hành hoặc đổ trứng."
Bánh chưng,Miền Bắc,Bánh nếp,"Là loại bánh duy nhất có lịch sử lâu đời trong ẩm thực truyền thống Việt Nam còn được sử sách nhắc lại, bánh chưng có vị trí đặc biệt trong tâm thức của cộng đồng người Việt"
Bánh cống,Sóc Trăng,Bánh bột sắn,"Là hỗn hợp của thịt heo băm nhuyễn trộn với củ sắn và đậu xanh nguyên hột, trên mặt bánh có một con tôm nằm khoanh tròn"
Bánh dày,Khắp cả nước,Bánh nếp,"Được làm bằng xôi đã được giã thật mịn, có thể có nhân đậu xanh và sợi dừa với vị ngọt hoặc mặn. Bánh có thể được làm vào các dịp Tết cổ truyền của dân tộc Việt và vào ngày Giỗ Tổ Hùng Vương"
Bánh đúc,Khắp cả nước,Bánh tẻ,"làm bằng bột gạo (tại miền Bắc và miền Trung) hoặc bột năng (miền Nam) với nước vôi trong một số gia vị. Bánh được làm thành tấm to, khi ăn thì cắt nhỏ thành miếng tùy thích."
Bánh giò,Khắp cả nước,Bánh tẻ,"Bằng bột tẻ lọc, thịt nạc vai dùng chế biến nhân có kèm mộc nhĩ, hành khô, hạt tiêu, nước mắm, muối... Bánh giò có hình dài nhô cao như hình bàn tay úp"
Bánh gối,Khắp cả nước,Bánh rán,"Được làm bằng nhiều lớp bột và chiên giòn. Theo truyền thống, nhân thịt lợn, nhưng ngày nay thịt gà và thịt bò cũng được sử dụng."
Bánh hỏi,"Vũng Tàu, Nha Trang, Phú Yên, Bình Định",Bánh tẻ,"Được làm từ bột gạo và có quy trình chế biến đặc biệt công phu, tỉ mỉ thường ăn chung với mỡ hành, thịt quay, thịt nướng, lòng heo..."
Bánh ít,Khắp cả nước,Bánh tẻ,làm từ bột nếp và bột đậu xanh với phương pháp hấp cách thủy. nhân bánh ít được xào chín trước khi gói cẩn thận bằng lá gai hoặc lá chuối tơ
Bánh ít trần,Khắp cả nước,Bánh tẻ,"Bánh ít không gói trong lá, thường rắc ruốc tôm, ruốc thịt lên trên"
Bánh khọt,Bà Rịa–Vũng Tàu,Bánh tẻ,"Bằng bột gạo, có nhân tôm, được rán và ăn kèm với rau sống, ớt tươi, chấm nước sốt mắm tôm (không phải mắm tôm hay mắm tôm chua)"
Bánh khúc,Miền Bắc,Bánh nếp phủ xôi,"làm từ lá rau khúc nếp, gạo nếp, nhân đậu xanh, thịt lợn mỡ có bọc ở ngoài bằng xôi"
Bánh mì,Khắp cả nước,Bánh bột mì,Bánh mì rạch đôi kẹp nhân ở giữa. Rất nhiều chủng loại khác nhau tùy vào nhân[
Bánh nậm,Thừa Thiên-Huế,Bánh tẻ,"Bằng bột tẻ, bánh mỏng dẹp với nhân nấm, thịt lợn, tiêu, ớt gói trong lá chuối"
Bánh quai vạc,"Nam Trung Bộ, miền Nam","Bánh bột năng, bánh rán","được làm từ bột (khoai) mì tinh (hay bột năng) bên trong nhân có thể chứa tôm, thịt rồi đem luộc. Ở miền Nam thường xuất hiện phổ biến dưới dạng bánh chiên."
Bánh tai,Phú Thọ,Bánh tẻ,"Làm từ bột gạo tẻ, thịt lợn và một số gia vị khác"
Bánh tẻ,Miền Bắc,Bánh tẻ,"bột gạo tẻ, gói ngoài bằng lá dong và được luộc cho chín."
Bánh tét,Miền Nam,Bánh nếp,"là nét tương đồng của bánh chưng ở Miền Bắc về nguyên liệu, cách nấu, chỉ khác về hình dáng và sử dụng lá chuối để gói thay vì lá dong, nhưng cũng có nhiều bánh tét nhân chuối hay đậu đen."
Bánh tôm Hồ Tây,Hà Nội,Bánh rán,Tôm (nước ngọt) hồ Tây bọc bột mì cho vào chảo mỡ nóng già ngập bánh cho chín tới. Khi bánh phồng lên và ngả màu vàng có bốc mùi thơm ngậy
Bánh xèo,Khắp cả nước,Bánh rán,"Bằng bột gạo bên ngoài, bên trong có nhân là tôm, thịt, giá đỗ, được rán màu vàng, đúc thành hình tròn hoặc gấp lại thành hình bán nguyệt["
Cháo lòng,Khắp cả nước,Cháo,"Cháo kết hợp với nước dùng ngọt làm từ xương lợn hay nước luộc lòng lợn, và nguyên liệu chính cho bát cháo không thể thiếu các món phủ tạng lợn luộc"
Cháo trắng,Khắp cả nước,Cháo,Nấu gạo chín nhừ trong nước. Để được thành cháo thường thì thể tích nước phải hơn gấp 3 lần thể tích gạo
Lẩu,Khắp cả nước,Lẩu,"Gồm một nồi nước dùng đang sôi, các món ăn sống được để xung quanh và người ăn gắp đồ ăn sống bỏ vào nồi nước dùng, đợi chín tới và ăn nóng"
Canh khổ qua nhồi thịt,Khắp cả nước,Canh,"Mướp đắng được nhồi thịt, bó lại bằng hành hoa nấu trong nước xương ninh"
Ốc nấu chuối đậu,Khắp cả nước,Canh,"Món ăn dân dã nhưng khá cầu kỳ với ốc luộc chín nấu cùng chuối xanh, đậu rán, thịt ba chỉ, có lá lốt, tía tô"
Súp cua,Khắp cả nước,Súp,"Món súp với thịt cua, trứng gà hoặc trứng cút ngoài ra còn có xương gà để làm súp thêm vị ngọt và bỗ dưỡng hoặc hạt bắp."
Súp yến,Khắp cả nước,Súp,"Món ăn sang trọng, đắt tiền, bổ dưỡng nằm trong Bát trân nấu từ tổ yến với đường."
Xôi chiên,Khắp cả nước,Xôi ăn chính,"Xôi trắng ấn dẹt thành từng bánh rồi chiên ngập dầu, hoặc có thể chiên phồng thành dạng tròn xoay như hình cầu."
Xôi đậu xanh,"Miền Bắc, Miền Trung",Xôi ăn sáng,"Đỗ xanh chà vỏ, ngâm nở và đãi bỏ vỏ (hoặc có thể để nguyên vỏ) trộn với gạo nếp và đồ chín. Đây là một loại xôi phổ biến và có rất nhiều loại xôi tương tự được chế biến với các loại đậu, đỗ"
Xôi gà,Khắp cả nước,Xôi ăn chính,"Được làm với nước cốt dừa và lá dứa, sau đó xé phay thịt gà luộc hoặc thịt gà quay, thái mỏng lạp sường và bày lên bát xôi như một đồ ăn kèm."
Xôi gấc,Khắp cả nước,"Xôi ăn sáng, xôi cúng","Là một món ăn ngon, bổ, phổ thông, và rất được ưa chuộng như một đồ thờ cúng ngày lễ, tết, giỗ chạp, hoặc đi kèm với lợn sữa quay trên mâm đồ lễ ăn hỏi. Sử dụng thịt gấc để tạo màu sắc đỏ tươi tắn và hương vị thơm ngon cho món xôi."
Xôi lá cẩm,Khắp cả nước,Xôi ăn sáng,"Tương tự xôi xéo với đậu xanh tán nhuyễn, nhưng kết hợp với nước sắc của lá cẩm để lấy màu tím đỏ."
Xôi đậu phộng,Khắp cả nước,Xôi,"Lạc nhân được luộc chín mềm, trộn đều với gạo nếp đã ngâm và đem lên đồ theo cách làm xôi thông thường"
Xôi ngũ sắc,Tây Bắc,"Xôi ăn chính, xôi cúng","Xôi được nấu kết hợp với các loại nước sắc của lá cơm xanh, cơm đỏ, cơm vàng để tạo màu. Thịnh hành với các dân tộc thiểu số (Mường, Tày, Thái). 5 màu xôi tượng trưng cho ngũ hành"
Xôi sắn,Miền Bắc,"Xôi ăn sáng, ăn chính","Gạo nếp trộn đều với củ sắn nếp đã bào thành sợi hoặc chặt miếng nhỏ, đồ chín và gia chút hành phi, mỡ nước."
Xôi trắng,Khắp cả nước,"Xôi ăn sáng, ăn chính, xôi cúng","Chỉ với gạo nếp và chút muối, không có bất cứ một nguyên liệu phụ nào khác hoặc đôi khi chỉ được kết hợp với một chút màu thực phẩm. Xôi trắng thường rất thịnh hành như một thứ quà trong sự kết hợp với các thực phẩm động vật"
Xôi vò,Khắp cả nước,"Xôi ăn chính, xôi cúng","Điểm đặc biệt của loại xôi này là các hạt xôi được tách rất rời nhưng vẫn rất dẻo. Gần tương tự xôi xéo với đậu xanh đồ chín tán nhuyễn, nhưng gạo nếp được đồ riêng với một chút lá dứa lấy mùi thơm, và có thể có một chút bột dành dành, bột nghệ tạo màu"
Xôi xéo,Hà Nội,Xôi ăn sáng,"Xôi đặt trong bát, lấy dao lạng mỏng từng lát xéo đậu xanh lên trên, rắc hành phi và rưới chút mỡ nước. Đây được coi là một trong những món xôi khó nấu ngon nhất"
Cơm đĩa,Khắp cả nước,Cơm tẻ,"Cơm bình dân với nhiều món ăn đa dạng, phong phú. Thông thường thực đơn sẽ bao gồm một dĩa cơm và một phần thức ăn theo lựa chọn, một bát canh."
Cơm cháy Ninh Bình,"Ninh Bình,Hải Phòng",Cơm tẻ,"Cơm cháy là phần cơm dưới đáy nồi khi nấu cơm thường chín vàng giòn, cơm cháy lấy ra xong phải phơi nắng tự nhiên hai, ba nắng, để chỗ thoáng, tránh ẩm mốc, lúc gần ăn mới chiên giòn"
Cơm hến,Thừa Thiên-Huế,Cơm tẻ,"Cơm nguội trộn với hến luộc, nước hến, mắm ruốc, rau bắp cải, tóp mỡ, bánh tráng nướng, mì xào giòn, ớt màu, đậu phộng nguyên hạt, dầu ăn chín, tiêu và muối"
Cơm gà Quảng Nam,Quảng Nam,Cơm tẻ,Cơm tẻ chín tới ăn với gà luộc rưới nước dùng gà
Cơm lam,"Trung du và miền núi phía Bắc, Tây Nguyên",Cơm nếp,"Được làm từ gạo nếp cùng một số nguyên liệu khác, cho vào ống tre, giang, nứa và nướng chín trên lửa"
Cơm nắm,Miền Bắc,Cơm tẻ,"Là món ăn có từ rất xa xưa của dân tộc. Cơm trắng nóng hổi đem nén chặt thành tấm bằng hai bàn tay rồi xắt miếng chấm với muối vừng vừa dẻo vừa bùi hài hòa vị mặn, ngọt."
Cơm nếp,Khắp cả nước,Cơm nếp,"Được nấu bằng gạo nếp, khác biệt với xôi chủ yếu ở phương thức nấu trực tiếp trong nước, không làm chín bằng hơi nước."
Cơm rang,Khắp cả nước,Cơm tẻ,"Cơm cùng với dầu ăn hoặc mỡ được chiên với những thức ăn khác như thịt, trứng... Món ăn cực kỳ phổ biến tại Việt Nam"
Cơm tấm,Miền Nam (Thành phố Hồ Chí Minh),Cơm tấm (gạo tẻ vụn),"Cơm tấm có thể gồm cả sườn, bì, chả, trứng hoặc không gồm đầy đủ các món trên nhưng phải có nước mắm ngọt"
Cơm trắng,Khắp cả nước,Cơm tẻ,"Được làm ra từ gạo bằng cách đem nấu với một lượng vừa đủ nước, chỉ có nguyên liệu là gạo tẻ và không có thêm gia vị, là thức ăn gần như hàng ngày của người Việt"
